Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
-----------------------------------------------------
     0    0.0000    +0.0000    0      0     96.9160
     1    0.0000    +0.0000    0      0     96.9160
     2    0.0000    +0.0000    0      0     96.9160
     3    0.0000    +0.0000    0      0     96.9160
     4    0.0000    +0.0000    0      0     96.9160
     5    0.0000    +0.0000    0      0     96.9160
     6    0.0000    +0.0000    0      0     96.9160
     7    0.0000    +0.0000    0      0     96.9160
     8    0.0000    +0.0000    0      0     96.9160
     9    0.0000    +0.0000    0      0     96.9160
    10    0.0000    +0.0000    0      0     96.9160
    11    0.0000    +0.0000    0      0     96.9160
    12    4.8396    -1.2864  165    -206     20.0377
    13    4.8306    -1.3956  166    -205     19.9978
    14    4.8131    -1.5693  166    -209     19.8985
    15    4.8147    -1.6270  166    -210     19.8973
    16    4.7788    -1.7463  161    -207     19.9537
    17    4.7653    -1.8599  160    -209     19.9338
    18    4.7425    -2.0947  165    -209     19.7641
    19    4.7142    -2.2051  164    -210     19.7750
    20    5.8745    +1.3001  168    -188     20.2506
    21    5.8674    +1.2965  168    -198     20.2457
    22    5.9138    +1.4722  169    -168     20.2849
    23    5.8871    +1.3787  169    -192     20.2677
    24    5.8981    +1.4113  168    -182     20.2601
    25    5.8911    +1.3883  168    -173     20.2593
    26    5.8813    +1.3603  168    -175     20.2559
    27    5.8913    +1.4042  168    -171     20.2643
    28    6.0160    +1.9574  171    -160     20.1246
    29    6.0918    +2.2070  173    -160     19.9574
    30    5.9762    +1.7366  170    -167     20.1564
    31    5.9014    +1.4052  168    -175     20.2464
    32    5.9003    +1.3878  168    -177     20.2446
    33    5.8974    +1.3783  169    -178     20.2405
    34    5.8929    +1.3706  168    -178     20.2568
    35    5.8597    +1.2656  168    -197     20.2730
    36    5.8695    +1.2917  168    -203     20.2765
    37    5.8414    +1.1184  170    -208     20.1618
    38    5.8364    +1.1152  173    -207     20.1548
    39    5.8429    +1.1579  172    -210     20.1787
    40    5.8245    +1.0787  169    -213     20.1763
    41    5.8216    +1.0624  167    -212     20.1763
    42    5.8185    +1.0474  167    -213     20.1723
    43    5.8329    +1.1168  167    -208     20.2108
    44    5.8410    +1.1170  167    -208     20.2032
    45    5.8262    +1.0578  167    -214     20.1917
    46    5.8246    +1.0756  166    -207     20.2213
    47    5.8334    +1.0546  166    -209     20.1773
    48    5.8178    +1.0566  165    -210     20.2250
    49    5.8137    +1.0472  165    -209     20.2279
    50    5.8212    +1.0589  165    -199     20.2431
    51    5.8294    +1.0775  165    -203     20.2386
    52    5.8222    +1.0541  165    -198     20.2396
    53    5.8118    +1.0393  165    -209     20.2405
    54    5.8178    +1.0587  165    -198     20.2516
    55    5.8190    +1.0359  165    -201     20.2281
    56    5.8108    +1.0299  165    -199     20.2415
    57    5.8057    +1.0166  165    -200     20.2397
    58    5.8052    +1.0057  165    -201     20.2359
    59    5.7962    +0.9497  165    -201     20.2386
    60    5.7887    +0.9304  165    -201     20.2615
    61    5.6945    +0.7016  165    -198     20.3907
    62    5.6695    +0.3703  164    -201     20.3065
    63    5.5478    +0.3896  164    -198     20.4759
    64    5.5775    +0.3539  164    -197     20.4244
    65    5.3438    -0.3010  155    -202     20.5606
    66    5.3093    -0.3741  155    -199     20.6549
    67    5.1389    -0.9603  159    -210     20.2454
    68    4.9976    -1.8293  155    -212     19.8818
    69    4.8269    -2.1355  142    -210     20.2128
    70    5.1870    -0.6798  145    -199     20.6394
    71    4.9895    -1.2422  146    -200     20.6309
    72    4.7846    -1.6833  131    -206     20.7011
    73    4.6864    -1.9425  145    -208     20.5605
    74    4.5426    -2.0830  116    -198     20.7398
    75    4.5179    -2.3465  105    -198     20.5678
    76    4.5899    -1.8467  144    -198     20.6869
    77    4.7118    -1.1608  155    -195     20.6547
    78    4.7899    -0.8791  147    -199     20.6663
    79    0.0000    +0.0000    0      0     96.9160
    80    0.0000    +0.0000    0      0     96.9160
    81    0.0000    +0.0000    0      0     96.9160
    82    0.0000    +0.0000    0      0     96.9160
    83    0.0000    +0.0000    0      0     96.9160
    84    0.0000    +0.0000    0      0     96.9160
    85    0.0000    +0.0000    0      0     96.9160
    86    0.0000    +0.0000    0      0     96.9160
    87    0.0000    +0.0000    0      0     96.9160
    88    0.0000    +0.0000    0      0     96.9160
    89    0.0000    +0.0000    0      0     96.9160
    90    0.0000    +0.0000    0      0     96.9160
    91    0.0000    +0.0000    0      0     96.9160
    92    0.0000    +0.0000    0      0     96.9160
    93    0.0000    +0.0000    0      0     96.9160
    94    0.0000    +0.0000    0      0     96.9160
    95    0.0000    +0.0000    0      0     96.9160
    96    0.0000    +0.0000    0      0     96.9160
    97    0.0000    +0.0000    0      0     96.9160
    98    0.0000    +0.0000    0      0     96.9160
    99    0.0000    +0.0000    0      0     96.9160
   100    0.0000    +0.0000    0      0     96.9160
   101    0.0000    +0.0000    0      0     96.9160
   102    0.0000    +0.0000    0      0     96.9160
   103    0.0000    +0.0000    0      0     96.9160
   104    0.0000    +0.0000    0      0     96.9160
   105    0.0000    +0.0000    0      0     96.9160
   106    0.0000    +0.0000    0      0     96.9160
   107    0.0000    +0.0000    0      0     96.9160
   108    0.0000    +0.0000    0      0     96.9160
   109    0.0000    +0.0000    0      0     96.9160
   110    0.0000    +0.0000    0      0     96.9160
   111    0.0000    +0.0000    0      0     96.9160
   112    0.0000    +0.0000    0      0     96.9160
   113    0.0000    +0.0000    0      0     96.9160
   114    0.0000    +0.0000    0      0     96.9160
   115    0.0000    +0.0000    0      0     96.9160
   116    0.0000    +0.0000    0      0     96.9160
   117    0.0000    +0.0000    0      0     96.9160
   118    0.0000    +0.0000    0      0     96.9160
   119    0.0000    +0.0000    0      0     96.9160
   120    0.0000    +0.0000    0      0     96.9160
   121    0.0000    +0.0000    0      0     96.9160
   122    0.0000    +0.0000    0      0     96.9160
   123    0.0000    +0.0000    0      0     96.9160
   124    0.0000    +0.0000    0      0     96.9160
   125    0.0000    +0.0000    0      0     96.9160
   126    0.0000    +0.0000    0      0     96.9160
   127    0.0000    +0.0000    0      0     96.9160
   128    0.0000    +0.0000    0      0     96.9160
   129    0.0000    +0.0000    0      0     96.9160
   130    0.0000    +0.0000    0      0     96.9160
   131    0.0000    +0.0000    0      0     96.9160
   132    0.0000    +0.0000    0      0     96.9160
   133    0.0000    +0.0000    0      0     96.9160
   134    6.0352    -5.7682  178    -220     17.8210
   135    6.0354    -5.7685  178    -220     17.8209
   136    6.0354    -5.7685  178    -220     17.8209
